Rocky Mountain Elk,Cervus elaphus,mammal,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/elk.jpg,Mongo (Public Domain),https://en.wikipedia.org/wiki/Elk
Gray Wolf,Canis lupus,mammal,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/gray_wolf.jpg,ODFW (Public Domain),https://en.wikipedia.org/wiki/Gray_wolf
Yellow-bellied Marmot,Marmota flaviventris,mammal,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/marmot.jpg,Inklein (CC BY-SA 3.0),https://en.wikipedia.org/wiki/Marmot
Western Rattlesnake,Crotalus viridis,reptile_amphibian,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/western_rattlesnake.jpg,LA Dawson (CC-BY-SA 2.5),https://en.wikipedia.org/wiki/Crotalus_viridis
Western Fence Lizard,Sceloporus occidentalis,reptile_amphibian,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/western_fence_lizard.jpg,ZabMilenko (CC-BY-SA 3.0),https://en.wikipedia.org/wiki/Western_fence_lizard
Pacific Treefrog,Pseudacris regilla,reptile_amphibian,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/pacific_tree_frog.jpg,Kjfmartin (CC-BY-SA 3.0),https://en.wikipedia.org/wiki/Pacific_tree_frog
Kokanee Salmon,Oncorhynchus nerka,fish,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/kokanee_salmon.jpg,Theinterior (CC-BY-SA 3.0),https://en.wikipedia.org/wiki/Sockeye_salmon
Mountain Whitefish,Prosopium williamsoni,fish,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/mountain_whitefish.jpg,Woostermike (Public Domain),https://en.wikipedia.org/wiki/Mountain_whitefish
Bull Trout,Salvelinus confluentus,fish,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/bull_trout.jpg,ODFW (Public Domain),https://en.wikipedia.org/wiki/Bull_trout
Golden Eagle,Aquila chrysaetos,bird,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/golden_eagle.jpg,Tony Hisgett (CC-BY),https://en.wikipedia.org/wiki/Golden_eagle
Bald Eagle,Haliaeetus leucocephalus,bird,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/bald_eagle.jpg,David R. Tribble (CC-BY-SA 4.0),https://en.wikipedia.org/wiki/Bald_eagle
Ferruginous Hawk,Buteo regalis,bird,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/ferruginous_hawk.jpg,Alan Vernon (CC-BY 2.0),https://en.wikipedia.org/wiki/Ferruginous_hawk
California Quail,Callipepla californica,bird,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/california_quail.jpg,Yathin sk (CC-BY-SA 3.0),https://en.wikipedia.org/wiki/California_quail
Douglas-fir,Pseudotsuga menziesii,tree_shrub,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/douglas_fir.jpg,Walter Siegmund (CC-BY-SA 3.0),https://en.wikipedia.org/wiki/Douglas_fir
Ponderosa Pine,Pinus ponderosa,tree_shrub,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/ponderosa_pine.jpg,Walter Siegmund (CC-BY-SA 2.5),https://en.wikipedia.org/wiki/Pinus_ponderosa
Western Larch,Larix occidentalis,tree_shrub,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/western_larch.jpg,Walter Siegmund (CC-BY-SA 2.5),https://en.wikipedia.org/wiki/Larix_occidentalis
Quaking Aspen,Populus tremuloides,tree_shrub,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/quaking_aspen.jpg,Famartin (CC-BY-SA 3.0),https://en.wikipedia.org/wiki/Populus_tremuloides
Yarrow,Achillea millefolium,wildflower,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/yarrow.jpg,Petar Milošević (CC-BY-SA 4.0),https://en.wikipedia.org/wiki/Achillea_millefolium
Arrow-leaf Balsamroot,Balsamorhiza sagittata,wildflower,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/balsamroot.jpg,Thayne Tuason (CC-BY-SA 4.0),https://en.wikipedia.org/wiki/Balsamorhiza_sagittata
Indian Paintbrush,Castilleja spp,wildflower,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/indian_paintbrush.jpg,Dcrjsr (CC-BY-SA 3.0),https://en.wikipedia.org/wiki/Castilleja
Rydberg's Penstemon,Penstemon rydbergii,wildflower,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/rydbergs_penstemon.jpg,Dcrjsr (CC-BY-SA 3.0),https://en.wikipedia.org/wiki/Penstemon_rydbergii
Calcedon Checkerspot,Euphydryas chalcedona,spider_insect,https://raw.githubusercontent.com/wicker/Wallowa-Wildlife-Checklist-App/master/wallowawildlife/static/img/calcedon_checkerspot.jpg,Jenner Hanni CC-BY-SA 2.0,https://en.wikipedia.org/wiki/Variable_checkerspot
